TYPE,NAME,STATUS,COMMENT,COUNT,AVG_COUNT,MAX_COUNT,SUBSYSTEM,MIN_COUNT,TIME_RESET,COUNT_RESET,TIME_ELAPSED,TIME_ENABLED,TIME_DISABLED,MIN_COUNT_RESET,MAX_COUNT_RESET,AVG_COUNT_RESET
value,buffer_pool_pages_free,enabled,Buffer pages currently free (innodb_buffer_pool_pages_free),7994,NULL,7994,buffer,7994,NULL,7994,18190,2019-07-18 17:14:05,NULL,7994,7994,NULL
status_counter,buffer_pages_created,enabled,Number of pages created (innodb_pages_created),0,0,0,buffer,NULL,NULL,0,18190,2019-07-18 17:14:05,NULL,NULL,0,NULL
status_counter,buffer_pages_written,enabled,Number of pages written (innodb_pages_written),19,0.0010445299615173171,19,buffer,NULL,NULL,19,18190,2019-07-18 17:14:05,NULL,NULL,19,NULL
status_counter,buffer_index_pages_written,enabled,Number of index pages written (innodb_index_pages_written),0,0,0,buffer,NULL,NULL,0,18190,2019-07-18 17:14:05,NULL,NULL,0,NULL
status_counter,buffer_non_index_pages_written,enabled,Number of non index pages written (innodb_non_index_pages_written),77,0.004233095107201759,77,buffer,NULL,NULL,77,18190,2019-07-18 17:14:05,NULL,NULL,77,NULL
status_counter,buffer_pages_read,enabled,Number of pages read (innodb_pages_read),196,0.010775151181968114,196,buffer,NULL,NULL,196,18190,2019-07-18 17:14:05,NULL,NULL,196,NULL
status_counter,buffer_pages0_read,enabled,Number of page 0 read (innodb_pages0_read),5,0.0002748611950964763,5,buffer,NULL,NULL,5,18191,2019-07-18 17:14:05,NULL,NULL,5,NULL
status_counter,buffer_index_sec_rec_cluster_reads,enabled,Number of secondary record reads triggered cluster read,0,0,0,buffer,NULL,NULL,0,18191,2019-07-18 17:14:05,NULL,NULL,0,NULL
status_counter,buffer_index_sec_rec_cluster_reads_avoided,enabled,Number of secondary record reads avoided triggering cluster read,0,0,0,buffer,NULL,NULL,0,18191,2019-07-18 17:14:05,NULL,NULL,0,NULL
status_counter,buffer_data_reads,enabled,Amount of data read in bytes (innodb_data_reads),3297792,181.28701005991974,3297792,buffer,NULL,NULL,3297792,18191,2019-07-18 17:14:05,NULL,NULL,3297792,NULL
status_counter,buffer_data_written,enabled,Amount of data written in bytes (innodb_data_written),642560,35.32296190423836,642560,buffer,NULL,NULL,642560,18191,2019-07-18 17:14:05,NULL,NULL,642560,NULL
set_owner,buffer_flush_batch_scanned,disabled,Total pages scanned as part of flush batch,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_flush_batch_num_scan,disabled,Number of times buffer flush list flush is called,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_flush_batch_scanned_per_call,disabled,Pages scanned per flush batch scan,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_flush_batch_rescan,disabled,Number of times rescan of flush list forced,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_owner,buffer_flush_batch_total_pages,disabled,Total pages flushed as part of flush batch,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_flush_batches,disabled,Number of flush batches,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_flush_batch_pages,disabled,Pages queued as a flush batch,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_owner,buffer_flush_neighbor_total_pages,disabled,Total neighbors flushed as part of neighbor flush,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_flush_neighbor,disabled,Number of times neighbors flushing is invoked,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_flush_neighbor_pages,disabled,Pages queued as a neighbor batch,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_flush_n_to_flush_requested,disabled,Number of pages requested for flushing.,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_flush_avg_page_rate,disabled,Average number of pages at which flushing is happening,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_flush_lsn_avg_rate,disabled,Average redo generation rate,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_flush_pct_for_dirty,disabled,Percent of IO capacity used to avoid max dirty page limit,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_flush_pct_for_lsn,disabled,Percent of IO capacity used to avoid reusable redo space limit,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_flush_sync_waits,disabled,Number of times a wait happens due to sync flushing,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_owner,buffer_flush_adaptive_total_pages,disabled,Total pages flushed as part of adaptive flushing,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_flush_adaptive,disabled,Number of adaptive batches,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_flush_adaptive_pages,disabled,Pages queued as an adaptive batch,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_owner,buffer_flush_sync_total_pages,disabled,Total pages flushed as part of sync batches,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_flush_sync,disabled,Number of sync batches,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_flush_sync_pages,disabled,Pages queued as a sync batch,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_owner,buffer_flush_background_total_pages,disabled,Total pages flushed as part of background batches,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_flush_background,disabled,Number of background batches,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_flush_background_pages,disabled,Pages queued as a background batch,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_owner,buffer_LRU_batch_scanned,disabled,Total pages scanned as part of LRU batch,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_LRU_batch_num_scan,disabled,Number of times LRU batch is called,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_LRU_batch_scanned_per_call,disabled,Pages scanned per LRU batch call,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_owner,buffer_LRU_batch_flush_total_pages,disabled,Total pages flushed as part of LRU batches,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_LRU_batches_flush,disabled,Number of LRU batches,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_LRU_batch_flush_pages,disabled,Pages queued as an LRU batch,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_owner,buffer_LRU_batch_evict_total_pages,disabled,Total pages evicted as part of LRU batches,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_LRU_batches_evict,disabled,Number of LRU batches,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_LRU_batch_evict_pages,disabled,Pages queued as an LRU batch,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_owner,buffer_LRU_single_flush_scanned,disabled,Total pages scanned as part of single page LRU flush,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_LRU_single_flush_num_scan,disabled,Number of times single page LRU flush is called,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_LRU_single_flush_scanned_per_call,disabled,Page scanned per single LRU flush,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_LRU_single_flush_failure_count,disabled,Number of times attempt to flush a single page from LRU failed,0,NULL,NULL,Buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_LRU_get_free_search,disabled,Number of searches performed for a clean page,0,NULL,NULL,Buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_owner,buffer_LRU_search_scanned,disabled,Total pages scanned as part of LRU search,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_LRU_search_num_scan,disabled,Number of times LRU search is performed,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_LRU_search_scanned_per_call,disabled,Page scanned per single LRU search,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_owner,buffer_LRU_unzip_search_scanned,disabled,Total pages scanned as part of LRU unzip search,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_LRU_unzip_search_num_scan,disabled,Number of times LRU unzip search is performed,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
set_member,buffer_LRU_unzip_search_scanned_per_call,disabled,Page scanned per single LRU unzip search,0,NULL,NULL,buffer,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_index_leaf,disabled,Number of Index Leaf Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_index_non_leaf,disabled,Number of Index Non-leaf Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_index_ibuf_leaf,disabled,Number of Insert Buffer Index Leaf Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_index_ibuf_non_leaf,disabled,Number of Insert Buffer Index Non-Leaf Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_undo_log,disabled,Number of Undo Log Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_index_inode,disabled,Number of Index Inode Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_ibuf_free_list,disabled,Number of Insert Buffer Free List Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_ibuf_bitmap,disabled,Number of Insert Buffer Bitmap Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_system_page,disabled,Number of System Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_trx_system,disabled,Number of Transaction System Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_fsp_hdr,disabled,Number of File Space Header Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_xdes,disabled,Number of Extent Descriptor Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_blob,disabled,Number of Uncompressed BLOB Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_zblob,disabled,Number of First Compressed BLOB Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_zblob2,disabled,Number of Subsequent Compressed BLOB Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_read_other,disabled,Number of other/unknown (old version of InnoDB) Pages read,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_index_leaf,disabled,Number of Index Leaf Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_index_non_leaf,disabled,Number of Index Non-leaf Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_index_ibuf_leaf,disabled,Number of Insert Buffer Index Leaf Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_index_ibuf_non_leaf,disabled,Number of Insert Buffer Index Non-Leaf Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_undo_log,disabled,Number of Undo Log Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_index_inode,disabled,Number of Index Inode Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_ibuf_free_list,disabled,Number of Insert Buffer Free List Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_ibuf_bitmap,disabled,Number of Insert Buffer Bitmap Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_system_page,disabled,Number of System Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_trx_system,disabled,Number of Transaction System Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_fsp_hdr,disabled,Number of File Space Header Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_xdes,disabled,Number of Extent Descriptor Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_blob,disabled,Number of Uncompressed BLOB Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_zblob,disabled,Number of First Compressed BLOB Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_zblob2,disabled,Number of Subsequent Compressed BLOB Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,buffer_page_written_other,disabled,Number of other/unknown (old version InnoDB) Pages written,0,NULL,NULL,buffer_page_io,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
status_counter,os_data_reads,enabled,Number of reads initiated (innodb_data_reads),212,0.011647711664194276,212,os,NULL,NULL,212,18201,2019-07-18 17:14:05,NULL,NULL,212,NULL
status_counter,os_data_writes,enabled,Number of writes initiated (innodb_data_writes),77,0.004230536783693204,77,os,NULL,NULL,77,18201,2019-07-18 17:14:05,NULL,NULL,77,NULL
status_counter,os_data_fsyncs,enabled,Number of fsync() calls (innodb_data_fsyncs),77,0.004230536783693204,77,os,NULL,NULL,77,18201,2019-07-18 17:14:05,NULL,NULL,77,NULL
counter,os_pending_reads,enabled,Number of reads pending,0,0,NULL,os,0,NULL,0,18201,2019-07-18 17:14:05,NULL,0,NULL,NULL
counter,os_pending_writes,enabled,Number of writes pending,0,0,NULL,os,0,NULL,0,18201,2019-07-18 17:14:05,NULL,0,NULL,NULL
status_counter,os_log_bytes_written,enabled,Bytes of log written (innodb_os_log_written),9728,0.5344761276852921,9728,os,NULL,NULL,9728,18201,2019-07-18 17:14:05,NULL,NULL,9728,NULL
status_counter,os_log_fsyncs,enabled,Number of fsync log writes (innodb_os_log_fsyncs),39,0.002142621689924184,39,os,NULL,NULL,39,18202,2019-07-18 17:14:05,NULL,NULL,39,NULL
status_counter,os_log_pending_fsyncs,enabled,Number of pending fsync write (innodb_os_log_pending_fsyncs),0,0,0,os,0,NULL,0,18202,2019-07-18 17:14:05,NULL,0,0,NULL
status_counter,os_log_pending_writes,enabled,Number of pending log file writes (innodb_os_log_pending_writes),0,0,0,os,0,NULL,0,18202,2019-07-18 17:14:05,NULL,0,0,NULL
counter,trx_rw_commits,disabled,Number of read-write transactions committed,0,NULL,NULL,transaction,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,trx_ro_commits,disabled,Number of read-only transactions committed,0,NULL,NULL,transaction,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,trx_nl_ro_commits,disabled,Number of non-locking auto-commit read-only transactions committed,0,NULL,NULL,transaction,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,trx_commits_insert_update,disabled,Number of transactions committed with inserts and updates,0,NULL,NULL,transaction,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,trx_rollbacks,disabled,Number of transactions rolled back,0,NULL,NULL,transaction,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,trx_rollbacks_savepoint,disabled,Number of transactions rolled back to savepoint,0,NULL,NULL,transaction,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,trx_rollback_active,disabled,Number of resurrected active transactions rolled back,0,NULL,NULL,transaction,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,trx_active_transactions,disabled,Number of active transactions,0,NULL,NULL,transaction,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
value,trx_rseg_history_len,enabled,Length of the TRX_RSEG_HISTORY list,27,NULL,27,transaction,27,NULL,27,18203,2019-07-18 17:14:05,NULL,27,27,NULL
counter,trx_undo_slots_used,disabled,Number of undo slots used,0,NULL,NULL,transaction,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,trx_undo_slots_cached,disabled,Number of undo slots cached,0,NULL,NULL,transaction,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
value,trx_rseg_current_size,disabled,Current rollback segment size in pages,0,NULL,NULL,transaction,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,purge_del_mark_records,disabled,Number of delete-marked rows purged,0,NULL,NULL,purge,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,purge_upd_exist_or_extern_records,disabled,Number of purges on updates of existing records and  updates on delete marked record with externally stored field,0,NULL,NULL,purge,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,purge_invoked,disabled,Number of times purge was invoked,0,NULL,NULL,purge,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,purge_undo_log_pages,disabled,Number of undo log pages handled by the purge,0,NULL,NULL,purge,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
value,purge_dml_delay_usec,disabled,Microseconds DML to be delayed due to purge lagging,0,NULL,NULL,purge,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
value,purge_stop_count,disabled,Number of times purge was stopped,0,NULL,NULL,purge,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
value,purge_resume_count,disabled,Number of times purge was resumed,0,NULL,NULL,purge,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,log_checkpoints,disabled,Number of checkpoints,0,NULL,NULL,recovery,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
value,log_lsn_last_flush,disabled,LSN of Last flush,0,NULL,NULL,recovery,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
value,log_lsn_last_checkpoint,disabled,LSN at last checkpoint,0,NULL,NULL,recovery,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
value,log_lsn_current,disabled,Current LSN value,0,NULL,NULL,recovery,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
counter,log_lsn_checkpoint_age,disabled,Current LSN value minus LSN at last checkpoint,0,NULL,NULL,recovery,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
value,log_lsn_buf_pool_oldest,disabled,The oldest modified block LSN in the buffer pool,0,NULL,NULL,recovery,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
value,log_max_modified_age_async,disabled,"Maximum LSN difference; when exceeded, start asynchronous preflush",0,NULL,NULL,recovery,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
