VARIABLE_NAME,VARIABLE_VALUE
MAX_BINLOG_SIZE,104857600
RANGE_ALLOC_BLOCK_SIZE,4096
COMPLETION_TYPE,NO_CHAIN
SSL_CAPATH,<blank>
PERFORMANCE_SCHEMA_MAX_THREAD_INSTANCES,-1
INNODB_TMPDIR,<blank>
CHARACTER_SET_CONNECTION,utf8mb4
INNODB_ENCRYPTION_THREADS,0
BINLOG_DIRECT_NON_TRANSACTIONAL_UPDATES,OFF
INNODB_API_BK_COMMIT_INTERVAL,5
QUERY_PREALLOC_SIZE,24576
TIME_FORMAT,%H:%i:%s
EVENT_SCHEDULER,OFF
LOW_PRIORITY_UPDATES,OFF
LOG_WARNINGS,1
REPORT_PASSWORD,<blank>
FT_MAX_WORD_LEN,84
WSREP_DBUG_OPTION,<blank>
AUTOMATIC_SP_PRIVILEGES,ON
SQL_BIG_SELECTS,ON
OPTIMIZER_SEARCH_DEPTH,62
TRANSACTION_ALLOC_BLOCK_SIZE,8192
DELAYED_QUEUE_SIZE,1000
INNODB_FLUSHING_AVG_LOOPS,30
LOCK_WAIT_TIMEOUT,31536000
SYNC_FRM,ON
PERFORMANCE_SCHEMA_DIGESTS_SIZE,-1
INNODB_USE_TRIM,OFF
FT_QUERY_EXPANSION_LIMIT,20
INNODB_INSTRUMENT_SEMAPHORES,OFF
REPLICATE_WILD_IGNORE_TABLE,<blank>
INNODB_IO_CAPACITY_MAX,2000
INNODB_LOCKS_UNSAFE_FOR_BINLOG,OFF
INNODB_IO_CAPACITY,200
MAX_STATEMENT_TIME,0.000000
WSREP_CLUSTER_ADDRESS,<blank>
MAX_SEEKS_FOR_KEY,4294967295
INNODB_CLEANER_LSN_AGE_FACTOR,HIGH_CHECKPOINT
KEY_CACHE_FILE_HASH_SIZE,512
WSREP_MAX_WS_SIZE,2147483647
AUTO_INCREMENT_OFFSET,1
INNODB_FORCE_PRIMARY_KEY,OFF
LOG_QUERIES_NOT_USING_INDEXES,OFF
INNODB_AUTOEXTEND_INCREMENT,64
JOIN_BUFFER_SIZE,262144
MYISAM_DATA_POINTER_SIZE,6
CONNECT_TIMEOUT,10
INNODB_STATS_PERSISTENT_SAMPLE_PAGES,20
LC_MESSAGES_DIR,/usr/share/mysql
SQL_AUTO_IS_NULL,OFF
ARIA_USED_FOR_TEMP_TABLES,ON
LARGE_PAGES,OFF
WSREP_SLAVE_UK_CHECKS,OFF
PRELOAD_BUFFER_SIZE,32768
WSREP_RETRY_AUTOCOMMIT,1
MAX_ALLOWED_PACKET,16777216
INNODB_STATUS_OUTPUT_LOCKS,OFF
MAX_CONNECT_ERRORS,100
QUERY_CACHE_MIN_RES_UNIT,4096
CHARACTER_SETS_DIR,/usr/share/mysql/charsets/
SORT_BUFFER_SIZE,2097152
PERFORMANCE_SCHEMA_SESSION_CONNECT_ATTRS_SIZE,-1
INNODB_ROLLBACK_ON_TIMEOUT,OFF
MAX_CONNECTIONS,151
INNODB_USE_GLOBAL_FLUSH_LOG_AT_TRX_COMMIT,ON
PERFORMANCE_SCHEMA_MAX_THREAD_CLASSES,50
INNODB_ADDITIONAL_MEM_POOL_SIZE,8388608
SLAVE_MAX_ALLOWED_PACKET,1073741824
JOIN_BUFFER_SPACE_LIMIT,2097152
INTERACTIVE_TIMEOUT,28800
INNODB_FILE_FORMAT,Antelope
BINLOG_COMMIT_WAIT_COUNT,0
ARIA_LOG_FILE_SIZE,1073741824
WSREP_CERTIFY_NONPK,ON
REPLICATE_WILD_DO_TABLE,<blank>
MAX_DIGEST_LENGTH,1024
RELAY_LOG_BASENAME,<blank>
DEFAULT_TMP_STORAGE_ENGINE,<blank>
READ_ONLY,OFF
OPEN_FILES_LIMIT,16364
CHARACTER_SET_CLIENT,utf8mb4
INNODB_ADAPTIVE_MAX_SLEEP_DELAY,150000
SLAVE_PARALLEL_THREADS,0
REPLICATE_IGNORE_TABLE,<blank>
WSREP_DIRTY_READS,OFF
LOWER_CASE_FILE_SYSTEM,OFF
INNODB_STRICT_MODE,OFF
MAX_LONG_DATA_SIZE,16777216
SQL_SLAVE_SKIP_COUNTER,0
SQL_LOG_OFF,OFF
WSREP_REJECT_QUERIES,NONE
AUTO_INCREMENT_INCREMENT,1
PERFORMANCE_SCHEMA_USERS_SIZE,-1
WSREP_SLAVE_THREADS,1
LOG_SLOW_VERBOSITY,<blank>
LOG_SLOW_SLAVE_STATEMENTS,OFF
THREAD_POOL_IDLE_TIMEOUT,60
WSREP_SLAVE_FK_CHECKS,ON
INNODB_LOCK_SCHEDULE_ALGORITHM,fcfs
REPLICATE_DO_TABLE,<blank>
DIV_PRECISION_INCREMENT,4
LONG_QUERY_TIME,10.000000
CHARACTER_SET_SYSTEM,utf8
BULK_INSERT_BUFFER_SIZE,8388608
RELAY_LOG_INFO_FILE,relay-log.info
OPTIMIZER_USE_CONDITION_SELECTIVITY,1
INNODB_AUTOINC_LOCK_MODE,1
METADATA_LOCKS_HASH_INSTANCES,8
LC_MESSAGES,en_US
MAX_LENGTH_FOR_SORT_DATA,1024
LOWER_CASE_TABLE_NAMES,0
FLUSH,OFF
INNODB_BUFFER_POOL_FILENAME,ib_buffer_pool
LOG_SLOW_FILTER,"admin,filesort,filesort_on_disk,full_join,full_scan,query_cache,query_cache_miss,tmp_table,tmp_table_on_disk"
INNODB_MAX_PURGE_LAG_DELAY,0
BINLOG_STMT_CACHE_SIZE,32768
INNODB_BUFFER_POOL_DUMP_NOW,OFF
MAX_BINLOG_CACHE_SIZE,18446744073709547520
INNODB_BACKGROUND_SCRUB_DATA_INTERVAL,604800
PERFORMANCE_SCHEMA_MAX_FILE_CLASSES,50
INNODB_STATUS_OUTPUT,OFF
MAX_SORT_LENGTH,1024
INNODB_SHOW_LOCKS_HELD,10
PERFORMANCE_SCHEMA_MAX_STATEMENT_CLASSES,178
INNODB_ADAPTIVE_HASH_INDEX,ON
TX_ISOLATION,REPEATABLE-READ
INNODB_ENCRYPT_LOG,OFF
OLD_PASSWORDS,OFF
WSREP_CAUSAL_READS,OFF
NET_WRITE_TIMEOUT,60
INNODB_API_ENABLE_BINLOG,OFF
INNODB_FT_TOTAL_CACHE_SIZE,640000000
SSL_CRL,<blank>
VERSION_COMPILE_MACHINE,x86_64
INNODB_MTFLUSH_THREADS,8
QUERY_CACHE_LIMIT,1048576
MAX_SESSION_MEM_USED,9223372036854775807
GTID_CURRENT_POS,<blank>
WSREP_DATA_HOME_DIR,/var/lib/mysql/
RELAY_LOG_SPACE_LIMIT,0
INNODB_LOG_COMPRESSED_PAGES,ON
MULTI_RANGE_COUNT,256
INNODB_DISABLE_SORT_FILE_CACHE,OFF
NET_RETRY_COUNT,10
INNODB_ENCRYPTION_ROTATION_IOPS,100
QUERY_CACHE_SIZE,16777216
HAVE_DYNAMIC_LOADING,YES
PROTOCOL_VERSION,10
WSREP_SST_METHOD,rsync
KEY_CACHE_AGE_THRESHOLD,300
INNODB_PRINT_ALL_DEADLOCKS,OFF
PERFORMANCE_SCHEMA_MAX_DIGEST_LENGTH,1024
INNODB_STATS_TRADITIONAL,ON
BINLOG_COMMIT_WAIT_USEC,100000
OLD,OFF
SKIP_NAME_RESOLVE,OFF
INNODB_MAX_DIRTY_PAGES_PCT,75.000000
PID_FILE,/var/run/mysqld/mysqld.pid
PERFORMANCE_SCHEMA_MAX_SOCKET_CLASSES,10
READ_BUFFER_SIZE,131072
KEY_BUFFER_SIZE,16777216
TMPDIR,/tmp
INNODB_USE_FALLOCATE,OFF
TIMED_MUTEXES,OFF
MIN_EXAMINED_ROW_LIMIT,0
SYNC_RELAY_LOG,10000
HAVE_GEOMETRY,YES
INNODB_DEFAULT_ENCRYPTION_KEY_ID,1
INNODB_SCHED_PRIORITY_CLEANER,19
WSREP_DESYNC,OFF
FLUSH_TIME,0
SKIP_EXTERNAL_LOCKING,ON
COLLATION_CONNECTION,utf8mb4_general_ci
SLAVE_NET_TIMEOUT,3600
PERFORMANCE_SCHEMA_MAX_FILE_INSTANCES,-1
INNODB_STATS_SAMPLE_PAGES,8
MAX_USER_CONNECTIONS,0
LOG_TC_SIZE,24576
OLD_ALTER_TABLE,OFF
INNODB_DEFRAGMENT_FILL_FACTOR,0.900000
WSREP_NODE_NAME,jarvis
INNODB_ADAPTIVE_FLUSHING_LWM,10.000000
OPTIMIZER_PRUNE_LEVEL,1
INNODB_DEFRAGMENT_FREQUENCY,40
TABLE_DEFINITION_CACHE,400
SQL_WARNINGS,OFF
STRICT_PASSWORD_VALIDATION,ON
THREAD_POOL_SIZE,1
INNODB_SYNC_ARRAY_SIZE,1
INNODB_BUFFER_POOL_LOAD_ABORT,OFF
INNODB_FOREGROUND_PREFLUSH,EXPONENTIAL_BACKOFF
SKIP_NETWORKING,OFF
THREAD_POOL_STALL_LIMIT,500
DATETIME_FORMAT,%Y-%m-%d %H:%i:%s
PERFORMANCE_SCHEMA_MAX_SOCKET_INSTANCES,-1
INIT_CONNECT,<blank>
TX_READ_ONLY,OFF
METADATA_LOCKS_CACHE_SIZE,1024
INNODB_RANDOM_READ_AHEAD,OFF
QUERY_ALLOC_BLOCK_SIZE,16384
INNODB_UNDO_LOGS,128
SQL_LOG_BIN,ON
PORT,3306
TMP_TABLE_SIZE,16777216
THREAD_POOL_MAX_THREADS,1000
THREAD_HANDLING,one-thread-per-connection
LOG_BIN_TRUST_FUNCTION_CREATORS,OFF
QUERY_CACHE_TYPE,ON
INNODB_MONITOR_DISABLE,<blank>
VERSION_MALLOC_LIBRARY,system jemalloc
MYISAM_BLOCK_SIZE,1024
GTID_SLAVE_POS,<blank>
MAX_BINLOG_STMT_CACHE_SIZE,18446744073709547520
MAX_SP_RECURSION_DEPTH,0
INNODB_BUFFER_POOL_POPULATE,OFF
REPORT_PORT,3306
INNODB_SPIN_WAIT_DELAY,6
INNODB_ADAPTIVE_HASH_INDEX_PARTITIONS,1
DELAY_KEY_WRITE,ON
INNODB_DEFRAGMENT_STATS_ACCURACY,0
KEY_CACHE_DIVISION_LIMIT,100
INNODB_LOCK_WAIT_TIMEOUT,50
BINLOG_FORMAT,STATEMENT
INNODB_OLD_BLOCKS_TIME,1000
PERFORMANCE_SCHEMA_HOSTS_SIZE,-1
KEEP_FILES_ON_CREATE,OFF
SECURE_FILE_PRIV,<blank>
FT_BOOLEAN_SYNTAX,"+ -><()~*:""""&|"
INNODB_COMPRESSION_FAILURE_THRESHOLD_PCT,5
SLAVE_DDL_EXEC_MODE,IDEMPOTENT
LOCKED_IN_MEMORY,OFF
CHARACTER_SET_DATABASE,utf8mb4
INNODB_LOCKING_FAKE_CHANGES,ON
DATE_FORMAT,%Y-%m-%d
INNODB_DISALLOW_WRITES,OFF
PERFORMANCE_SCHEMA_SETUP_ACTORS_SIZE,100
INNODB_PREFIX_INDEX_CLUSTER_OPTIMIZATION,OFF
RELAY_LOG_RECOVERY,OFF
SLAVE_COMPRESSED_PROTOCOL,OFF
INNODB_PRINT_LOCK_WAIT_TIMEOUT_INFO,OFF
MAX_WRITE_LOCK_COUNT,4294967295
INNODB_BUFFER_POOL_DUMP_PCT,100
BINLOG_ANNOTATE_ROW_EVENTS,OFF
INNODB_ENCRYPT_TABLES,OFF
REPORT_USER,<blank>
COLLATION_DATABASE,utf8mb4_general_ci
INNODB_BUFFER_POOL_LOAD_AT_STARTUP,OFF
INNODB_USE_STACKTRACE,OFF
LOG_ERROR,/var/log/mysql/error.log
INNODB_LOG_BUFFER_SIZE,16777216
GENERAL_LOG,OFF
HOST_CACHE_SIZE,279
INNODB_MAX_PURGE_LAG,0
GTID_DOMAIN_ID,0
MYISAM_MAX_SORT_FILE_SIZE,9223372036853727232
QUERY_CACHE_WLOCK_INVALIDATE,OFF
INNODB_LOG_ARCH_EXPIRE_SEC,0
MAX_RELAY_LOG_SIZE,104857600
WSREP_LOG_CONFLICTS,OFF
THREAD_STACK,196608
OLD_MODE,<blank>
OPTIMIZER_SWITCH,"index_merge=on,index_merge_union=on,index_merge_sort_union=on,index_merge_intersection=on,index_merge_sort_intersection=off,engine_condition_pushdown=off,index_condition_pushdown=on,derived_merge=on,derived_with_keys=on,firstmatch=on,loosescan=on,materialization=on,in_to_exists=on,semijoin=on,partial_match_rowid_merge=on,partial_match_table_scan=on,subquery_cache=on,mrr=off,mrr_cost_based=off,mrr_sort_keys=off,outer_join_with_cache=on,semijoin_with_cache=on,join_cache_incremental=on,join_cache_hashed=on,join_cache_bka=on,optimize_join_buffer_size=off,table_elimination=on,extended_keys=on,exists_to_in=on,orderby_uses_equalities=off"
DEFAULT_REGEX_FLAGS,<blank>
CORE_FILE,OFF
HISTOGRAM_TYPE,SINGLE_PREC_HB
MAX_INSERT_DELAYED_THREADS,20
HAVE_COMPRESS,YES
INNODB_STATS_INCLUDE_DELETE_MARKED,OFF
INNODB_USE_ATOMIC_WRITES,OFF
NET_BUFFER_LENGTH,16384
THREAD_CACHE_SIZE,8
SYNC_BINLOG,0
INNODB_DOUBLEWRITE,ON
SLOW_QUERY_LOG,OFF
INNODB_STATS_PERSISTENT,ON
SOCKET,/var/run/mysqld/mysqld.sock
DEFAULT_WEEK_FORMAT,0
VERSION_SSL_LIBRARY,YaSSL 2.4.4
INNODB_CHANGE_BUFFER_MAX_SIZE,25
WSREP_START_POSITION,00000000-0000-0000-0000-000000000000:-1
INNODB_DEFAULT_ROW_FORMAT,compact
HAVE_SSL,DISABLED
INNODB_USE_NATIVE_AIO,ON
KEY_CACHE_BLOCK_SIZE,1024
VERSION_COMMENT,Debian 9.6
SSL_CA,<blank>
INNODB_UNDO_TABLESPACES,0
WSREP_SST_DONOR_REJECTS_QUERIES,OFF
INNODB_BUF_DUMP_STATUS_FREQUENCY,0
RELAY_LOG_INDEX,<blank>
DEADLOCK_SEARCH_DEPTH_SHORT,4
GTID_IGNORE_DUPLICATES,OFF
INNODB_FT_MIN_TOKEN_SIZE,3
WSREP_NOTIFY_CMD,<blank>
INNODB_FT_USER_STOPWORD_TABLE,<blank>
WSREP_MAX_WS_ROWS,0
SERVER_ID,0
MAX_DELAYED_THREADS,20
ARIA_MAX_SORT_FILE_SIZE,9223372036853727232
INNODB_API_DISABLE_ROWLOCK,OFF
INNODB_DEFRAGMENT_FILL_FACTOR_N_RECS,20
LOG_BIN_INDEX,<blank>
INNODB_SCRUB_LOG_SPEED,256
NET_READ_TIMEOUT,30
ARIA_SYNC_LOG_DIR,NEWFILE
LOG_BIN_BASENAME,<blank>
INNODB_FT_ENABLE_STOPWORD,ON
MAX_JOIN_SIZE,18446744073709551615
INNODB_BACKGROUND_SCRUB_DATA_CHECK_INTERVAL,3600
PERFORMANCE_SCHEMA_MAX_FILE_HANDLES,32768
ARIA_GROUP_COMMIT_INTERVAL,0
SLAVE_PARALLEL_MAX_QUEUED,131072
PROFILING_HISTORY_SIZE,15
WSREP_PATCH_VERSION,wsrep_25.23
INNODB_CHANGE_BUFFERING,all
REPLICATE_IGNORE_DB,<blank>
INNODB_STATS_MODIFIED_COUNTER,0
SQL_BUFFER_RESULT,OFF
BINLOG_OPTIMIZE_THREAD_SCHEDULING,ON
INNODB_EMPTY_FREE_LIST_ALGORITHM,LEGACY
ENCRYPT_BINLOG,OFF
READ_RND_BUFFER_SIZE,262144
INNODB_USE_MTFLUSH,OFF
SYNC_RELAY_LOG_INFO,10000
INNODB_CORRUPT_TABLE_ACTION,assert
RELAY_LOG,<blank>
PROGRESS_REPORT_TIME,5
INNODB_COMPRESSION_ALGORITHM,zlib
JOIN_CACHE_LEVEL,2
PLUGIN_MATURITY,unknown
WSREP_RESTART_SLAVE,OFF
INNODB_PURGE_THREADS,1
SECURE_AUTH,ON
PROFILING,OFF
THREAD_CONCURRENCY,10
ARIA_PAGECACHE_BUFFER_SIZE,134217728
WAIT_TIMEOUT,28800
EXPENSIVE_SUBQUERY_LIMIT,100
WSREP_LOAD_DATA_SPLITTING,ON
INNODB_BUFFER_POOL_DUMP_AT_SHUTDOWN,OFF
COLLATION_SERVER,utf8mb4_general_ci
SSL_CRLPATH,<blank>
HAVE_OPENSSL,NO
DEADLOCK_SEARCH_DEPTH_LONG,15
HAVE_QUERY_CACHE,YES
MRR_BUFFER_SIZE,262144
WSREP_CONVERT_LOCK_TO_TRX,OFF
INNODB_MAX_DIRTY_PAGES_PCT_LWM,0.001000
WSREP_SST_RECEIVE_ADDRESS,AUTO
ARIA_RECOVER,NORMAL
LICENSE,GPL
FOREIGN_KEY_CHECKS,ON
MASTER_VERIFY_CHECKSUM,OFF
INNODB_MONITOR_RESET,<blank>
GTID_BINLOG_STATE,<blank>
INNODB_STATS_AUTO_RECALC,ON
INNODB_COMMIT_CONCURRENCY,0
GTID_STRICT_MODE,OFF
INNODB_MIRRORED_LOG_GROUPS,1
EXTRA_MAX_CONNECTIONS,1
INNODB_FATAL_SEMAPHORE_WAIT_THRESHOLD,600
LOG_OUTPUT,FILE
INNODB_IDLE_FLUSH_PCT,100
LARGE_PAGE_SIZE,0
INNODB_SUPPORT_XA,ON
SYSTEM_TIME_ZONE,EDT
SSL_CERT,<blank>
SLAVE_TRANSACTION_RETRIES,10
INNODB_COMPRESSION_LEVEL,6
ARIA_SORT_BUFFER_SIZE,268434432
INNODB_ADAPTIVE_FLUSHING,ON
WSREP_GTID_DOMAIN_ID,0
INNODB_FILE_PER_TABLE,ON
LC_TIME_NAMES,en_US
EXTRA_PORT,0
ENCRYPT_TMP_FILES,OFF
ARIA_BLOCK_SIZE,8192
UNIQUE_CHECKS,ON
DATADIR,/var/lib/mysql/
GENERAL_LOG_FILE,jarvis.log
INNODB_DATA_HOME_DIR,<blank>
HAVE_RTREE_KEYS,YES
INNODB_READ_IO_THREADS,4
INNODB_BUFFER_POOL_SIZE,134217728
INNODB_MAX_BITMAP_FILE_SIZE,104857600
DEFAULT_STORAGE_ENGINE,InnoDB
INNODB_BUFFER_POOL_INSTANCES,8
CHARACTER_SET_SERVER,utf8mb4
INNODB_UNDO_DIRECTORY,.
SLAVE_RUN_TRIGGERS_FOR_RBR,NO
SLAVE_TYPE_CONVERSIONS,<blank>
ARIA_PAGECACHE_DIVISION_LIMIT,100
INNODB_FT_RESULT_CACHE_LIMIT,2000000000
TIME_ZONE,SYSTEM
WSREP_SYNC_WAIT,0
INNODB_DEFRAGMENT,OFF
MAX_TMP_TABLES,32
WSREP_PROVIDER,none
INNODB_ENCRYPTION_ROTATE_KEY_AGE,1
GTID_BINLOG_POS,<blank>
INNODB_API_ENABLE_MDL,OFF
ARIA_PAGECACHE_AGE_THRESHOLD,300
INNODB_FILE_FORMAT_CHECK,ON
STORED_PROGRAM_CACHE,256
INNODB_READ_AHEAD_THRESHOLD,56
MYISAM_STATS_METHOD,NULLS_UNEQUAL
INNODB_READ_ONLY,OFF
ROWID_MERGE_BUFF_SIZE,8388608
INNODB_IMMEDIATE_SCRUB_DATA_UNCOMPRESSED,OFF
INNODB_MONITOR_RESET_ALL,<blank>
SLAVE_SQL_VERIFY_CHECKSUM,ON
INNODB_OPTIMIZE_FULLTEXT_ONLY,OFF
FT_STOPWORD_FILE,(built-in)
INNODB_STATS_METHOD,nulls_equal
SSL_CIPHER,<blank>
WSREP_NODE_INCOMING_ADDRESS,AUTO
LOG_SLOW_RATE_LIMIT,1
INIT_FILE,<blank>
INNODB_THREAD_CONCURRENCY,0
ARIA_LOG_PURGE_TYPE,immediate
INNODB_BACKGROUND_SCRUB_DATA_UNCOMPRESSED,OFF
MAX_ERROR_COUNT,64
INNODB_SIMULATE_COMP_FAILURES,0
FT_MIN_WORD_LEN,4
LOCAL_INFILE,ON
WSREP_FORCED_BINLOG_FORMAT,NONE
INNODB_BUFFER_POOL_LOAD_NOW,OFF
ARIA_FORCE_START_AFTER_RECOVERY_FAILURES,0
IGNORE_DB_DIRS,<blank>
INNODB_FLUSH_METHOD,<blank>
BINLOG_CHECKSUM,NONE
INNODB_TABLE_LOCKS,ON
INNODB_PAGE_SIZE,16384
INNODB_LRU_SCAN_DEPTH,1024
ARIA_ENCRYPT_TABLES,OFF
WSREP_SST_AUTH,<blank>
PERFORMANCE_SCHEMA_EVENTS_STATEMENTS_HISTORY_LONG_SIZE,-1
STORAGE_ENGINE,InnoDB
DELAYED_INSERT_LIMIT,100
INNODB_FORCE_RECOVERY,0
ARIA_CHECKPOINT_LOG_ACTIVITY,1048576
EXPIRE_LOGS_DAYS,10
INNODB_FLUSH_LOG_AT_TRX_COMMIT,1
MYISAM_USE_MMAP,OFF
WSREP_PROVIDER_OPTIONS,<blank>
INNODB_FT_CACHE_SIZE,8000000
MAX_PREPARED_STMT_COUNT,16382
INNODB_CONCURRENCY_TICKETS,5000
WSREP_SST_DONOR,<blank>
SQL_SAFE_UPDATES,OFF
INNODB_COMPRESSION_PAD_PCT_MAX,50
ENCRYPT_TMP_DISK_TABLES,OFF
DEADLOCK_TIMEOUT_LONG,50000000
WSREP_GTID_MODE,OFF
INNODB_OPEN_FILES,2000
DEBUG_NO_THREAD_ALARM,OFF
INNODB_LOG_FILES_IN_GROUP,2
DELAYED_INSERT_TIMEOUT,300
PLUGIN_DIR,/usr/lib/x86_64-linux-gnu/mariadb18/plugin/
MYISAM_RECOVER_OPTIONS,BACKUP
HAVE_CRYPT,YES
INNODB_CMP_PER_INDEX_ENABLED,OFF
INNODB_FT_MAX_TOKEN_SIZE,84
INNODB_ONLINE_ALTER_LOG_MAX_SIZE,134217728
INNODB_FT_SERVER_STOPWORD_TABLE,<blank>
UPDATABLE_VIEWS_WITH_LIMIT,YES
INNODB_FILE_FORMAT_MAX,Antelope
INNODB_LOG_GROUP_HOME_DIR,./
KEY_CACHE_SEGMENTS,0
INNODB_LARGE_PREFIX,OFF
INNODB_FT_SORT_PLL_DEGREE,2
WSREP_REPLICATE_MYISAM,OFF
BASEDIR,/usr
SQL_QUOTE_SHOW_CREATE,ON
WSREP_NODE_ADDRESS,<blank>
INNODB_LOG_BLOCK_SIZE,512
INNODB_DATA_FILE_PATH,ibdata1:12M:autoextend
SSL_KEY,<blank>
PERFORMANCE_SCHEMA_MAX_TABLE_HANDLES,-1
QUERY_CACHE_STRIP_COMMENTS,OFF
INNODB_WRITE_IO_THREADS,4
TABLE_OPEN_CACHE,2000
MYISAM_REPAIR_THREADS,1
INNODB_FT_AUX_TABLE,<blank>
MYISAM_SORT_BUFFER_SIZE,134216704
INNODB_USE_SYS_MALLOC,ON
INNODB_OLD_BLOCKS_PCT,37
INNODB_SHOW_VERBOSE_LOCKS,0
INNODB_FORCE_LOAD_CORRUPTED,OFF
WSREP_MYSQL_REPLICATION_BUNDLE,0
ARIA_CHECKPOINT_INTERVAL,30
SLAVE_PARALLEL_MODE,conservative
WSREP_DEBUG,OFF
SKIP_SHOW_DATABASE,OFF
SLOW_QUERY_LOG_FILE,jarvis-slow.log
AUTOCOMMIT,ON
INNODB_CHECKSUM_ALGORITHM,INNODB
CHARACTER_SET_FILESYSTEM,binary
INNODB_KILL_IDLE_TRANSACTION,0
LOG_BIN,OFF
MYSQL56_TEMPORAL_FORMAT,ON
INNODB_CHECKSUMS,ON
INNODB_LOG_ARCHIVE,OFF
TRANSACTION_PREALLOC_SIZE,4096
INNODB_REPLICATION_DELAY,0
VERSION_COMPILE_OS,debian-linux-gnu
INNODB_API_TRX_LEVEL,0
INNODB_TRACK_CHANGED_PAGES,OFF
DEADLOCK_TIMEOUT_SHORT,10000
SLAVE_SKIP_ERRORS,OFF
INNODB_STATS_ON_METADATA,OFF
WSREP_CLUSTER_NAME,my_wsrep_cluster
ARIA_PAGECACHE_FILE_HASH_SIZE,512
INIT_SLAVE,<blank>
INNODB_LOG_CHECKSUM_ALGORITHM,INNODB
REPLICATE_EVENTS_MARKED_FOR_SKIP,REPLICATE
USERSTAT,OFF
INNODB_VERSION,5.6.41-84.1
PERFORMANCE_SCHEMA_MAX_TABLE_INSTANCES,-1
WSREP_OSU_METHOD,TOI
ARIA_STATS_METHOD,nulls_unequal
INNODB_MONITOR_ENABLE,<blank>
HAVE_PROFILING,YES
INNODB_LOG_FILE_SIZE,50331648
INNODB_FAKE_CHANGES,OFF
INNODB_LOG_ARCH_DIR,./
INNODB_PURGE_BATCH_SIZE,300
SLAVE_DOMAIN_PARALLEL_THREADS,0
HISTOGRAM_SIZE,0
ENFORCE_STORAGE_ENGINE,<blank>
SQL_SELECT_LIMIT,18446744073709551615
INNODB_FT_ENABLE_DIAG_PRINT,OFF
MYISAM_MMAP_SIZE,18446744073709551615
HAVE_SYMLINK,YES
REPLICATE_ANNOTATE_ROW_EVENTS,OFF
ARIA_PAGE_CHECKSUM,ON
USE_STAT_TABLES,NEVER
INNODB_FLUSH_NEIGHBORS,1
INNODB_FAST_SHUTDOWN,1
OPTIMIZER_SELECTIVITY_SAMPLING_LIMIT,100
ARIA_GROUP_COMMIT,none
BACK_LOG,80
INNODB_SYNC_SPIN_LOOPS,30
INNODB_THREAD_SLEEP_DELAY,10000
INNODB_SCRUB_LOG,OFF
WSREP_RECOVER,OFF

